"replicate","pipeline","metric","dimension","score","rank"
3,"raw","gearys_C",6,1.00322885722699,5
3,"raw","gearys_C",7,0.999122355955174,6
3,"raw","gearys_C",3,0.99588557492916,7
3,"raw","gearys_C",9,0.991692761826674,8
3,"raw","gearys_C",4,0.973068168905199,9
3,"raw","gearys_C",8,0.96973673960881,10
3,"raw","spatial_entropy",1,-1.35046460191461,1
3,"raw","spatial_entropy",2,-2.92328207794468,2
3,"raw","spatial_entropy",10,-2.94211411051762,3
3,"raw","spatial_entropy",3,-2.97524387206326,4
3,"raw","spatial_entropy",6,-2.9952306038941,5
3,"raw","spatial_entropy",8,-3.02263091025409,6
3,"raw","spatial_entropy",9,-3.03211352444161,7
3,"raw","spatial_entropy",4,-3.03997791943114,8
3,"raw","spatial_entropy",7,-3.04263624286617,9
3,"raw","spatial_entropy",5,-3.04401356951899,10
3,"smoothed","morans_I",1,0.829745037010284,1
3,"smoothed","morans_I",2,0.181515362127319,2
3,"smoothed","morans_I",3,0.035466655933506,3
3,"smoothed","morans_I",10,0.0267818297420254,4
3,"smoothed","morans_I",5,0.0108315893068699,5
3,"smoothed","morans_I",9,-0.00278627382230476,6
3,"smoothed","morans_I",6,-0.00796906255313164,7
3,"smoothed","morans_I",7,-0.00957498341205173,8
3,"smoothed","morans_I",4,-0.0211222091439617,9
3,"smoothed","morans_I",8,-0.0284602689689764,10
3,"smoothed","gearys_C",1,1.82888847841087,1
3,"smoothed","gearys_C",2,1.17541992218846,2
3,"smoothed","gearys_C",3,1.04576150833007,3
3,"smoothed","gearys_C",10,1.03523494733058,4
3,"smoothed","gearys_C",5,1.00762066281379,5
3,"smoothed","gearys_C",6,1.00322885722699,6
3,"smoothed","gearys_C",7,0.999122355955174,7
3,"smoothed","gearys_C",9,0.991692761826674,8
3,"smoothed","gearys_C",4,0.973068168905199,9
3,"smoothed","gearys_C",8,0.96973673960881,10
3,"smoothed","spatial_entropy",1,-1.34086556683106,1
3,"smoothed","spatial_entropy",10,-2.94211411051762,2
3,"smoothed","spatial_entropy",6,-2.9952306038941,3
3,"smoothed","spatial_entropy",2,-3.00381807664879,4
3,"smoothed","spatial_entropy",3,-3.00672285559252,5
3,"smoothed","spatial_entropy",8,-3.02263091025409,6
3,"smoothed","spatial_entropy",9,-3.03211352444161,7
3,"smoothed","spatial_entropy",4,-3.03997791943114,8
3,"smoothed","spatial_entropy",7,-3.04263624286617,9
3,"smoothed","spatial_entropy",5,-3.04401356951899,10
3,"smooth_eq","morans_I",1,0.834419559455823,1
3,"smooth_eq","morans_I",2,0.183897704881612,2
3,"smooth_eq","morans_I",3,0.0360334197545538,3
3,"smooth_eq","morans_I",10,0.0267818297420254,4
3,"smooth_eq","morans_I",5,0.0108315893068699,5
3,"smooth_eq","morans_I",9,-0.00278627382230476,6
3,"smooth_eq","morans_I",6,-0.00796906255313164,7
3,"smooth_eq","morans_I",7,-0.00957498341205173,8
3,"smooth_eq","morans_I",4,-0.0211222091439617,9
3,"smooth_eq","morans_I",8,-0.0284602689689764,10
3,"smooth_eq","gearys_C",1,1.83297928992533,1
3,"smooth_eq","gearys_C",2,1.18011234322825,2
3,"smooth_eq","gearys_C",3,1.04481502963541,3
3,"smooth_eq","gearys_C",10,1.03523494733058,4
3,"smooth_eq","gearys_C",5,1.00762066281379,5
3,"smooth_eq","gearys_C",6,1.00322885722699,6
3,"smooth_eq","gearys_C",7,0.999122355955174,7
3,"smooth_eq","gearys_C",9,0.991692761826674,8
3,"smooth_eq","gearys_C",4,0.973068168905199,9
3,"smooth_eq","gearys_C",8,0.96973673960881,10
3,"smooth_eq","spatial_entropy",1,-2.61591416390199,1
3,"smooth_eq","spatial_entropy",10,-2.94211411051762,2
3,"smooth_eq","spatial_entropy",6,-2.9952306038941,3
3,"smooth_eq","spatial_entropy",8,-3.02263091025409,4
3,"smooth_eq","spatial_entropy",9,-3.03211352444161,5
3,"smooth_eq","spatial_entropy",2,-3.03223481913805,6
3,"smooth_eq","spatial_entropy",3,-3.03752835248403,7
3,"smooth_eq","spatial_entropy",4,-3.03997791943114,8
3,"smooth_eq","spatial_entropy",7,-3.04263624286617,9
3,"smooth_eq","spatial_entropy",5,-3.04401356951899,10
4,"raw","morans_I",1,0.789025785522073,1
4,"raw","morans_I",2,0.429872600890412,2
4,"raw","morans_I",5,0.0371640371195594,3
4,"raw","morans_I",4,-0.00464349746731477,4
4,"raw","morans_I",7,-0.00480026516872478,5
4,"raw","morans_I",6,-0.00537742829877964,6
4,"raw","morans_I",8,-0.00804660470640224,7
4,"raw","morans_I",3,-0.0188969960575852,8
4,"raw","morans_I",10,-0.0195797167099048,9
4,"raw","morans_I",9,-0.0270786542799356,10
4,"raw","gearys_C",1,1.78246062772454,1
4,"raw","gearys_C",2,1.43547062163222,2
4,"raw","gearys_C",5,1.03141582301348,3
4,"raw","gearys_C",4,0.991744605547858,4
4,"raw","gearys_C",6,0.991381213911091,5
4,"raw","gearys_C",8,0.989395250482303,6
4,"raw","gearys_C",7,0.987931063405563,7
4,"raw","gearys_C",3,0.977233453346896,8
4,"raw","gearys_C",10,0.975742717727102,9
4,"raw","gearys_C",9,0.957925387586396,10
4,"raw","spatial_entropy",1,-2.55234329474373,1
4,"raw","spatial_entropy",2,-2.89748549704553,2
4,"raw","spatial_entropy",3,-2.93437697984353,3
4,"raw","spatial_entropy",10,-2.97706174033109,4
4,"raw","spatial_entropy",4,-3.01029285711903,5
4,"raw","spatial_entropy",7,-3.03961040104007,6
4,"raw","spatial_entropy",6,-3.04191549980506,7
4,"raw","spatial_entropy",5,-3.05125861884848,8
4,"raw","spatial_entropy",9,-3.05964766385856,9
4,"raw","spatial_entropy",8,-3.07268894725519,10
4,"smoothed","morans_I",1,0.823122265004904,1
4,"smoothed","morans_I",2,0.510198182140498,2
4,"smoothed","morans_I",5,0.0371640371195594,3
4,"smoothed","morans_I",3,0.030760501866405,4
4,"smoothed","morans_I",4,-0.00464349746731477,5
4,"smoothed","morans_I",7,-0.00480026516872478,6
4,"smoothed","morans_I",6,-0.00537742829877964,7
4,"smoothed","morans_I",8,-0.00804660470640224,8
4,"smoothed","morans_I",10,-0.0195797167099048,9
4,"smoothed","morans_I",9,-0.0270786542799356,10
4,"smoothed","gearys_C",1,1.81855927516102,1
4,"smoothed","gearys_C",2,1.52088783051589,2
4,"smoothed","gearys_C",3,1.03489808352552,3
4,"smoothed","gearys_C",5,1.03141582301348,4
4,"smoothed","gearys_C",4,0.991744605547858,5
4,"smoothed","gearys_C",6,0.991381213911091,6
4,"smoothed","gearys_C",8,0.989395250482303,7
4,"smoothed","gearys_C",7,0.987931063405563,8
4,"smoothed","gearys_C",10,0.975742717727102,9
4,"smoothed","gearys_C",9,0.957925387586396,10
4,"smoothed","spatial_entropy",1,-2.57967590951605,1
4,"smoothed","spatial_entropy",2,-2.82257846364872,2
4,"smoothed","spatial_entropy",3,-2.87595271305648,3
4,"smoothed","spatial_entropy",10,-2.97706174033109,4
4,"smoothed","spatial_entropy",4,-3.01029285711903,5
4,"smoothed","spatial_entropy",7,-3.03961040104007,6
4,"smoothed","spatial_entropy",6,-3.04191549980506,7
4,"smoothed","spatial_entropy",5,-3.05125861884848,8
4,"smoothed","spatial_entropy",9,-3.05964766385856,9
4,"smoothed","spatial_entropy",8,-3.07268894725519,10
4,"smooth_eq","morans_I",1,0.82570455413007,1
4,"smooth_eq","morans_I",2,0.51284687749748,2
4,"smooth_eq","morans_I",5,0.0371640371195594,3
4,"smooth_eq","morans_I",3,0.0295887165868238,4
4,"smooth_eq","morans_I",4,-0.00464349746731477,5
4,"smooth_eq","morans_I",7,-0.00480026516872478,6
4,"smooth_eq","morans_I",6,-0.00537742829877964,7
4,"smooth_eq","morans_I",8,-0.00804660470640224,8
4,"smooth_eq","morans_I",10,-0.0195797167099048,9
4,"smooth_eq","morans_I",9,-0.0270786542799356,10
4,"smooth_eq","gearys_C",1,1.82159642977965,1
4,"smooth_eq","gearys_C",2,1.52107523247142,2
4,"smooth_eq","gearys_C",3,1.03262290344069,3
4,"smooth_eq","gearys_C",5,1.03141582301348,4
4,"smooth_eq","gearys_C",4,0.991744605547858,5
4,"smooth_eq","gearys_C",6,0.991381213911091,6
4,"smooth_eq","gearys_C",8,0.989395250482303,7
4,"smooth_eq","gearys_C",7,0.987931063405563,8
4,"smooth_eq","gearys_C",10,0.975742717727102,9
4,"smooth_eq","gearys_C",9,0.957925387586396,10
4,"smooth_eq","spatial_entropy",1,-2.58374197314313,1
4,"smooth_eq","spatial_entropy",2,-2.86076794191113,2
4,"smooth_eq","spatial_entropy",10,-2.97706174033109,3
4,"smooth_eq","spatial_entropy",4,-3.01029285711903,4
4,"smooth_eq","spatial_entropy",3,-3.02451209251251,5
4,"smooth_eq","spatial_entropy",7,-3.03961040104007,6
